
Loading Cifar 10 Dataset...
Files already downloaded and verified
Files already downloaded and verified
Loaded Cifar 10!

========================================

Epoch [1/150] | Train iter [20/391] | acc_top1 = 15.62500 | acc_top5 = 53.12500 | loss = 2.30290
Epoch [1/150] | Train iter [70/391] | acc_top1 = 12.50000 | acc_top5 = 52.34375 | loss = 2.30282
Epoch [1/150] | Train iter [120/391] | acc_top1 = 11.71875 | acc_top5 = 44.53125 | loss = 2.30253
Epoch [1/150] | Train iter [170/391] | acc_top1 = 9.37500 | acc_top5 = 39.06250 | loss = 2.30236
Epoch [1/150] | Train iter [220/391] | acc_top1 = 14.06250 | acc_top5 = 60.15625 | loss = 2.30214
Epoch [1/150] | Train iter [270/391] | acc_top1 = 11.71875 | acc_top5 = 58.59375 | loss = 2.30203
Epoch [1/150] | Train iter [320/391] | acc_top1 = 13.28125 | acc_top5 = 48.43750 | loss = 2.30191
Epoch [1/150] | Train iter [370/391] | acc_top1 = 7.03125 | acc_top5 = 49.21875 | loss = 2.30181
Epoch [1/150] | Train iter [391/391] | acc_top1 = 18.75000 | acc_top5 = 55.00000 | loss = 2.30173

Epoch [1/150] | Validation | acc_top1 = 15.25910 | acc_top5 = 54.39082 | loss = 2.32975

========================================

Epoch [2/150] | Train iter [20/391] | acc_top1 = 13.28125 | acc_top5 = 49.21875 | loss = 2.30166
Epoch [2/150] | Train iter [70/391] | acc_top1 = 14.06250 | acc_top5 = 52.34375 | loss = 2.30117
Epoch [2/150] | Train iter [120/391] | acc_top1 = 10.15625 | acc_top5 = 48.43750 | loss = 2.30080
Epoch [2/150] | Train iter [170/391] | acc_top1 = 7.03125 | acc_top5 = 48.43750 | loss = 2.30073
Epoch [2/150] | Train iter [220/391] | acc_top1 = 14.84375 | acc_top5 = 55.46875 | loss = 2.30042
Epoch [2/150] | Train iter [270/391] | acc_top1 = 13.28125 | acc_top5 = 60.93750 | loss = 2.30029
Epoch [2/150] | Train iter [320/391] | acc_top1 = 14.06250 | acc_top5 = 50.78125 | loss = 2.29998
Epoch [2/150] | Train iter [370/391] | acc_top1 = 4.68750 | acc_top5 = 49.21875 | loss = 2.29985
Epoch [2/150] | Train iter [391/391] | acc_top1 = 15.00000 | acc_top5 = 66.25000 | loss = 2.29980

Epoch [2/150] | Validation | acc_top1 = 17.96875 | acc_top5 = 60.85839 | loss = 2.32728

========================================

Epoch [3/150] | Train iter [20/391] | acc_top1 = 14.06250 | acc_top5 = 54.68750 | loss = 2.29878
Epoch [3/150] | Train iter [70/391] | acc_top1 = 9.37500 | acc_top5 = 64.84375 | loss = 2.29837
Epoch [3/150] | Train iter [120/391] | acc_top1 = 9.37500 | acc_top5 = 57.81250 | loss = 2.29800
Epoch [3/150] | Train iter [170/391] | acc_top1 = 14.84375 | acc_top5 = 60.15625 | loss = 2.29781
Epoch [3/150] | Train iter [220/391] | acc_top1 = 11.71875 | acc_top5 = 53.90625 | loss = 2.29762
Epoch [3/150] | Train iter [270/391] | acc_top1 = 19.53125 | acc_top5 = 62.50000 | loss = 2.29752
Epoch [3/150] | Train iter [320/391] | acc_top1 = 14.06250 | acc_top5 = 58.59375 | loss = 2.29737
Epoch [3/150] | Train iter [370/391] | acc_top1 = 19.53125 | acc_top5 = 57.03125 | loss = 2.29727
Epoch [3/150] | Train iter [391/391] | acc_top1 = 23.75000 | acc_top5 = 60.00000 | loss = 2.29721

Epoch [3/150] | Validation | acc_top1 = 20.13449 | acc_top5 = 66.40625 | loss = 2.32425

========================================

Epoch [4/150] | Train iter [20/391] | acc_top1 = 17.18750 | acc_top5 = 55.46875 | loss = 2.29616
Epoch [4/150] | Train iter [70/391] | acc_top1 = 17.96875 | acc_top5 = 60.15625 | loss = 2.29529
Epoch [4/150] | Train iter [120/391] | acc_top1 = 10.15625 | acc_top5 = 58.59375 | loss = 2.29512
Epoch [4/150] | Train iter [170/391] | acc_top1 = 14.06250 | acc_top5 = 52.34375 | loss = 2.29487
Epoch [4/150] | Train iter [220/391] | acc_top1 = 18.75000 | acc_top5 = 57.03125 | loss = 2.29448
Epoch [4/150] | Train iter [270/391] | acc_top1 = 11.71875 | acc_top5 = 60.15625 | loss = 2.29431
Epoch [4/150] | Train iter [320/391] | acc_top1 = 18.75000 | acc_top5 = 71.87500 | loss = 2.29404
Epoch [4/150] | Train iter [370/391] | acc_top1 = 15.62500 | acc_top5 = 63.28125 | loss = 2.29390
Epoch [4/150] | Train iter [391/391] | acc_top1 = 13.75000 | acc_top5 = 71.25000 | loss = 2.29382

Epoch [4/150] | Validation | acc_top1 = 21.53877 | acc_top5 = 68.80933 | loss = 2.31997

========================================

Epoch [5/150] | Train iter [20/391] | acc_top1 = 18.75000 | acc_top5 = 53.90625 | loss = 2.29209
Epoch [5/150] | Train iter [70/391] | acc_top1 = 9.37500 | acc_top5 = 60.93750 | loss = 2.29200
Epoch [5/150] | Train iter [120/391] | acc_top1 = 18.75000 | acc_top5 = 64.06250 | loss = 2.29148
Epoch [5/150] | Train iter [170/391] | acc_top1 = 22.65625 | acc_top5 = 64.06250 | loss = 2.29103
Epoch [5/150] | Train iter [220/391] | acc_top1 = 15.62500 | acc_top5 = 63.28125 | loss = 2.29071
Epoch [5/150] | Train iter [270/391] | acc_top1 = 14.06250 | acc_top5 = 68.75000 | loss = 2.29041
Epoch [5/150] | Train iter [320/391] | acc_top1 = 13.28125 | acc_top5 = 58.59375 | loss = 2.29017
Epoch [5/150] | Train iter [370/391] | acc_top1 = 17.96875 | acc_top5 = 61.71875 | loss = 2.28978
Epoch [5/150] | Train iter [391/391] | acc_top1 = 17.50000 | acc_top5 = 65.00000 | loss = 2.28963

Epoch [5/150] | Validation | acc_top1 = 22.62658 | acc_top5 = 71.14320 | loss = 2.31411

========================================

Epoch [6/150] | Train iter [20/391] | acc_top1 = 14.84375 | acc_top5 = 60.15625 | loss = 2.28637
Epoch [6/150] | Train iter [70/391] | acc_top1 = 25.78125 | acc_top5 = 67.96875 | loss = 2.28586
Epoch [6/150] | Train iter [120/391] | acc_top1 = 17.96875 | acc_top5 = 64.84375 | loss = 2.28569
Epoch [6/150] | Train iter [170/391] | acc_top1 = 21.09375 | acc_top5 = 64.84375 | loss = 2.28514
Epoch [6/150] | Train iter [220/391] | acc_top1 = 21.87500 | acc_top5 = 71.87500 | loss = 2.28470
Epoch [6/150] | Train iter [270/391] | acc_top1 = 21.87500 | acc_top5 = 71.09375 | loss = 2.28455
Epoch [6/150] | Train iter [320/391] | acc_top1 = 24.21875 | acc_top5 = 66.40625 | loss = 2.28405
Epoch [6/150] | Train iter [370/391] | acc_top1 = 17.96875 | acc_top5 = 71.09375 | loss = 2.28362
Epoch [6/150] | Train iter [391/391] | acc_top1 = 23.75000 | acc_top5 = 65.00000 | loss = 2.28341

Epoch [6/150] | Validation | acc_top1 = 22.49802 | acc_top5 = 73.01227 | loss = 2.30569

========================================

Epoch [7/150] | Train iter [20/391] | acc_top1 = 19.53125 | acc_top5 = 61.71875 | loss = 2.28159
